day,snk.flow.low,snk.flow.med,snk.flow.high,col.flow.low,col.flow.med,col.flow.high
91,32.2,72.0,161.5,96.9,223.5,425.0
92,39.1,66.6,151.0,95.5,217.0,445.8
93,34.5,64.6,150.1,104.7,211.5,428.8
94,32.4,67.3,146.0,95.8,213.0,427.3
95,25.7,70.1,140.4,111.1,231.6,424.4
96,29.0,68.3,139.0,88.7,210.5,403.8
97,24.1,73.4,134.1,102.3,213.6,375.4
98,24.1,71.3,145.0,73.1,206.4,392.2
99,26.8,69.7,140.5,87.1,209.3,407.9
100,28.6,83.7,123.0,105.3,250.5,381.1
101,24.1,80.7,112.5,97.9,237.7,380.2
102,24.2,84.7,147.2,101.0,226.4,385.7
103,27.0,83.5,138.2,98.3,240.1,391.7
104,27.5,83.5,146.6,100.0,225.7,386.9
105,32.2,79.1,110.1,100.8,231.9,392.3
106,31.9,70.3,116.1,100.1,251.0,368.8
107,32.8,72.4,125.0,101.0,249.7,358.5
108,37.6,74.1,117.7,102.9,246.3,370.7
109,43.6,68.4,116.3,111.3,256.3,338.6
110,46.0,72.4,133.6,133.2,264.3,331.2
111,50.0,70.9,130.3,149.2,246.2,380.6
112,62.8,80.3,116.6,171.3,252.7,366.9
113,74.1,73.4,117.2,203.9,266.4,354.7
114,66.8,76.4,123.3,171.9,248.6,352.4
115,60.3,81.3,125.2,188.9,271.4,344.8
116,53.2,78.7,126.6,176.5,268.9,369.1
117,51.6,61.8,127.5,175.6,256.1,368.7
118,55.2,76.7,133.3,162.0,268.0,373.0
119,58.1,79.4,120.5,167.1,290.6,369.0
120,58.9,67.3,121.6,161.8,261.3,344.5
121,65.3,65.4,109.2,180.2,254.4,336.3
122,54.9,72.9,118.0,173.9,252.9,345.0
123,59.9,77.6,104.7,177.2,268.4,330.3
124,59.9,87.7,104.6,186.5,279.9,320.6
125,53.6,100.2,127.6,188.0,292.6,343.8
126,51.7,101.5,163.3,162.2,327.7,391.0
127,50.6,91.3,161.4,194.3,297.1,437.1
128,51.5,86.2,169.4,163.6,290.8,450.8
129,46.3,79.7,162.3,175.6,284.9,438.9
130,48.8,86.3,162.3,181.0,249.9,435.5
131,49.4,81.4,175.1,153.9,285.6,433.5
132,46.0,74.4,186.6,198.8,292.5,439.1
133,49.4,71.5,178.4,206.0,285.1,444.8
134,51.1,67.3,161.8,189.1,254.2,434.1
135,55.9,70.1,153.6,173.5,261.4,433.9
136,57.4,84.1,144.0,182.0,281.4,423.4
137,64.6,95.6,135.3,204.0,317.2,424.6
138,76.3,113.8,125.2,197.8,330.8,434.6
139,90.1,119.0,119.2,246.2,351.5,415.1
140,100.4,112.8,103.4,221.3,348.8,406.0
141,102.4,104.1,114.7,276.1,328.6,388.7
142,86.1,108.4,116.6,242.8,314.7,389.1
143,78.6,121.9,130.3,215.8,347.9,400.6
144,72.2,132.7,160.8,248.8,354.7,402.5
145,71.8,140.0,160.8,225.6,362.0,437.1
146,68.4,139.2,138.3,209.4,358.9,443.1
147,68.6,135.9,139.0,218.7,376.1,426.7
148,70.0,132.9,131.4,181.1,365.4,413.3
149,71.6,130.0,140.2,166.5,356.9,418.9
150,75.4,127.2,150.4,226.5,357.5,428.7
151,72.7,123.1,168.8,197.2,332.8,439.9
152,77.0,116.2,175.1,207.3,327.6,449.3
153,86.6,114.1,178.8,230.5,355.9,460.6
154,122.5,110.8,169.1,298.2,340.9,457.2
155,148.6,113.3,165.2,310.7,325.1,438.3
156,187.0,110.9,168.1,334.5,329.8,453.4
157,198.6,112.1,161.0,345.2,341.6,429.5
158,192.8,105.0,149.7,352.5,306.3,425.5
159,195.3,101.9,150.8,361.6,298.7,427.2
160,174.9,100.2,150.5,385.2,285.9,437.8
161,173.6,93.8,147.0,389.4,297.3,451.3
162,162.3,91.0,132.7,408.4,280.8,404.9
163,147.0,89.1,120.9,400.9,247.1,390.2
164,134.5,85.5,111.7,328.2,239.7,368.7
165,129.1,78.4,129.9,317.6,241.9,399.9
166,124.7,72.0,124.3,329.2,211.9,391.8
167,129.1,66.9,113.7,356.3,208.4,354.1
168,116.7,69.3,120.7,356.9,227.5,326.5
169,110.4,71.5,119.6,358.5,263.9,337.0
170,102.5,66.1,122.1,318.5,251.9,345.9
171,100.1,63.5,115.3,290.4,239.1,312.8
172,105.0,63.9,140.4,309.9,264.7,319.9
173,111.7,67.9,117.1,362.9,299.4,320.8
174,97.1,65.0,109.0,343.9,275.1,307.3
175,94.9,66.5,97.8,343.9,270.0,295.2
176,98.3,64.1,97.6,325.4,281.3,300.2
177,90.7,63.3,74.6,330.5,260.7,268.9
178,87.2,64.4,79.4,326.6,267.5,269.7
179,81.1,77.0,77.8,304.7,261.8,258.1
180,81.8,76.4,69.3,305.4,286.9,266.0
181,78.8,71.0,77.9,329.7,299.9,256.7